copy_id,text_he,audio_ref,tokens,voiced,spec_ref,notes
idle.nudge,"הסימנים מחכים לך.",idle-nudge.mp3,,TRUE,16.1,
idle.repeat_offer,"רוצה שאחזור על ההוראה?",idle-repeat-offer.mp3,,TRUE,16.1,
welcome.title,"המסע הסודי",,,FALSE,2.1,"On-screen title."
welcome.narration,"ברוכים הבאים למסע הסודי!",welcome-narration.mp3,,TRUE,2.1,
welcome.start_button,"מתחילים",,,FALSE,2.1,
welcome.adventure_begins,"ההרפתקה מתחילה!",welcome-adventure-begins.mp3,,TRUE,2.1,
profile.name_prompt,"איך נקרא לך במסע?",profile-name-prompt.mp3,,TRUE,2.2,
profile.name_narration,"בחר שם למסע שלך.",profile-name-narration.mp3,,TRUE,2.2,
profile.greeting,"נעים להכיר! יוצאים לדרך.",profile-greeting.mp3,,TRUE,2.2,"Spec 1.6: the child's name is NEVER spoken — it cannot be pre-recorded."
profile.greeting_text,"נעים להכיר, {{child_name}}!",,child_name,FALSE,2.2,"On-screen only. The name is fine in text, never in audio."
profile.no_name,"אפשר לבחור שם אחר כך. בוא נתחיל!",profile-no-name.mp3,,TRUE,2.2,
avatar.prompt,"מי יצטרף אליך למסע?",avatar-prompt.mp3,,TRUE,2.3,
avatar.narration,"בחר את החבר או החברה שילוו אותך.",avatar-narration.mp3,,TRUE,2.3,
avatar.chosen,"בחירה מצוינת!",avatar-chosen.mp3,,TRUE,2.3,
world.title,"העולם שלך",,,FALSE,3,
world.narration,"זה המקום שלך. כאן תוכל לבנות, לגלות ולפתוח מקומות חדשים.",world-narration.mp3,,TRUE,3,
world.gate_hint,"השער הזה מוביל למקומות סודיים. כדי לפתוח אותו, נצטרך למצוא כמה סימנים.",world-gate-hint.mp3,,TRUE,3,
world.start_button,"יוצאים למשימה",,,FALSE,3,
reward.coin,"קיבלת מטבע!",reward-coin.mp3,,TRUE,12.1,"Never a number — a count cannot be pre-recorded."
reward.unlock,"אספת מספיק סימנים כדי לשדרג את המקום שלך!",reward-unlock.mp3,,TRUE,12.2,
reward.gate_opens,"השער נפתח!",reward-gate-opens.mp3,,TRUE,12.3,
reward.new_place,"מקום חדש מחכה לך.",reward-new-place.mp3,,TRUE,12.3,
adventure.title,"תעלומת הסימנים האבודים",,,FALSE,10.2,
adventure.opening,"קיבלנו הודעה מסתורית!",adventure-opening.mp3,,TRUE,10.2,
adventure.narration,"כמה סימנים נעלמו מהמפה. נצטרך למצוא אותם.",adventure-narration.mp3,,TRUE,10.2,
adventure.target,"הסימן שאנחנו מחפשים הוא {{letter_name}}",adventure-target-{{letter_name}}.mp3,letter_name,TRUE,10.2,"Never says the child is struggling."
adventure.first_clue,"מצאת רמז ראשון!",adventure-first-clue.mp3,,TRUE,10.3,
adventure.sound_led,"הצליל הוביל אותנו למקום הנכון!",adventure-sound-led.mp3,,TRUE,10.4,
adventure.trace_prompt,"עזור לדמות לצייר את הסימן.",adventure-trace-prompt.mp3,,TRUE,10.5,
adventure.trace_glow,"הסימן מתחיל להאיר!",adventure-trace-glow.mp3,,TRUE,10.5,
adventure.trace_offpath,"בוא נעקוב אחרי האור.",adventure-trace-offpath.mp3,,TRUE,10.5,"Off-path is never failure — only guidance."
adventure.box_opened,"התיבה נפתחה!",adventure-box-opened.mp3,,TRUE,10.6,
adventure.closing,"הסימן חזר למפה!",adventure-closing.mp3,,TRUE,10.7,
adventure.complete,"המשימה הושלמה",,,FALSE,10.7,
ending.title,"היום התקדמת במסע!",,,FALSE,13.1,
ending.message,"מצאת סימנים, פתחת דרך ובנית משהו חדש.",ending-message.mp3,,TRUE,13.1,
ending.continue,"להמשיך לשחק",,,FALSE,13.2,
ending.visit_world,"לבקר בעולם שלי",,,FALSE,13.2,
ending.finish,"לסיים להיום",,,FALSE,13.2,
ending.farewell,"העולם שלך יחכה לך בפעם הבאה!",ending-farewell.mp3,,TRUE,13.2,
returning.welcome_back,"ברוך שובך! המשימה שלך מחכה לך.",returning-welcome-back.mp3,,TRUE,16.4,
parent.title,"התקדמות במסע של {{child_name}}",,child_name,FALSE,14.1,"Parent screen is text only — never narrated to the child."
parent.hint_explainer,"רמזים הם חלק רגיל מהמשחק. המערכת משתמשת בהם כדי לאפשר לילד להמשיך, להצליח ולצבור ניסיון.",,,FALSE,14.5,
parent.status_new,"חדש",,,FALSE,14.4,
parent.status_practicing,"בתרגול",,,FALSE,14.4,
parent.status_consistent,"הצלחה עקבית",,,FALSE,14.4,
parent.col_skill,"מיומנות",,,FALSE,14.3,
parent.col_status,"סטטוס",,,FALSE,14.3,
parent.col_exposures,"מספר חשיפות",,,FALSE,14.3,
parent.col_hints,"שימוש ברמז",,,FALSE,14.3,
